text,intent,entities
Je dois me rendre de Aix-en-Provence à Kandi,TRIP,"[{""start"": 21, ""end"": 36, ""label"": ""Departure""}, {""start"": 39, ""end"": 44, ""label"": ""Destination""}]"
Strasbourg → Metz,TRIP,"[{""start"": 0, ""end"": 10, ""label"": ""Departure""}, {""start"": 13, ""end"": 17, ""label"": ""Destination""}]"
J'aimerais aller de Limoges à Angers,TRIP,"[{""start"": 20, ""end"": 27, ""label"": ""Departure""}, {""start"": 30, ""end"": 36, ""label"": ""Destination""}]"
Je voyage ce soir de Marseille vers Strasbourg,TRIP,"[{""start"": 21, ""end"": 30, ""label"": ""Departure""}, {""start"": 36, ""end"": 46, ""label"": ""Destination""}]"
Je voudrais confirmer ma réunion,NOT_TRIP,[]
Je vais de Lyon à Toulouse pour affaires,TRIP,"[{""start"": 11, ""end"": 15, ""label"": ""Departure""}, {""start"": 18, ""end"": 26, ""label"": ""Destination""}]"
Quel est le meilleur moyen pour aller de Angers vers Tchaourou,TRIP,"[{""start"": 41, ""end"": 47, ""label"": ""Departure""}, {""start"": 53, ""end"": 62, ""label"": ""Destination""}]"
Bassila - Paris,TRIP,"[{""start"": 0, ""end"": 7, ""label"": ""Departure""}, {""start"": 10, ""end"": 15, ""label"": ""Destination""}]"
Un billet pour Brest Caen,NOT_TRIP,[]
Quels sont les horaires de train pour Brest Lyon,NOT_TRIP,[]
Je vais à Bordeaux depuis Angers cet après-midi,TRIP,"[{""start"": 26, ""end"": 32, ""label"": ""Departure""}, {""start"": 10, ""end"": 18, ""label"": ""Destination""}]"
J'aimerais aller de Toulon à Besançon,TRIP,"[{""start"": 20, ""end"": 26, ""label"": ""Departure""}, {""start"": 29, ""end"": 37, ""label"": ""Destination""}]"
de Montreuil vers Argenteuil,TRIP,"[{""start"": 3, ""end"": 12, ""label"": ""Departure""}, {""start"": 18, ""end"": 28, ""label"": ""Destination""}]"
Y a-t-il encore de la place Tchaourou - Djougou,NOT_TRIP,[]
Je désire un aller-retour de Savé vers Allada,NOT_TRIP,[]
Bonne journée,NOT_TRIP,[]
zzz,UNKNOWN,[]
Merci de me faire parvenir le rapport,NOT_TRIP,[]
Je dois effectuer le trajet Nice Rouen,TRIP,"[{""start"": 28, ""end"": 32, ""label"": ""Departure""}, {""start"": 33, ""end"": 38, ""label"": ""Destination""}]"
Je veux aller de Nancy à Ouidah,TRIP,"[{""start"": 17, ""end"": 22, ""label"": ""Departure""}, {""start"": 25, ""end"": 31, ""label"": ""Destination""}]"
Il reste des places pour Tours Boulogne-Billancourt,NOT_TRIP,[]
Gibt es einen Zug nach Berlin?,NOT_FRENCH,[]
Thank you very much,NOT_FRENCH,[]
iiii,UNKNOWN,[]
Je pars demain de Nîmes à Dijon,TRIP,"[{""start"": 18, ""end"": 23, ""label"": ""Departure""}, {""start"": 26, ""end"": 31, ""label"": ""Destination""}]"
Je dois effectuer le trajet Kétou Porto-Novo,TRIP,"[{""start"": 28, ""end"": 33, ""label"": ""Departure""}, {""start"": 34, ""end"": 44, ""label"": ""Destination""}]"
lol lol lol,UNKNOWN,[]
Besançon - Orléans,TRIP,"[{""start"": 0, ""end"": 8, ""label"": ""Departure""}, {""start"": 11, ""end"": 18, ""label"": ""Destination""}]"
Amiens - Saint-Étienne,TRIP,"[{""start"": 0, ""end"": 6, ""label"": ""Departure""}, {""start"": 9, ""end"": 22, ""label"": ""Destination""}]"
depuis Amiens jusqu'à Boulogne-Billancourt,TRIP,"[{""start"": 7, ""end"": 13, ""label"": ""Departure""}, {""start"": 22, ""end"": 42, ""label"": ""Destination""}]"
Je souhaite obtenir mon trajet Clermont-Ferrand vers Allada,TRIP,"[{""start"": 31, ""end"": 47, ""label"": ""Departure""}, {""start"": 53, ""end"": 59, ""label"": ""Destination""}]"
qsdfghjklm,UNKNOWN,[]
Quero um bilhete para Porto,NOT_FRENCH,[]
Je rentre à Perpignan depuis Angers,TRIP,"[{""start"": 29, ""end"": 35, ""label"": ""Departure""}, {""start"": 12, ""end"": 21, ""label"": ""Destination""}]"
Ich möchte ein Ticket nach München,NOT_FRENCH,[]
Le Mans → Abomey,TRIP,"[{""start"": 0, ""end"": 7, ""label"": ""Departure""}, {""start"": 10, ""end"": 16, ""label"": ""Destination""}]"
Comment commander un billet Montpellier Toulon,NOT_TRIP,[]
Prix du trajet Toulouse Rouen,NOT_TRIP,[]
C'est possible d'aller de Nice à Allada,TRIP,"[{""start"": 26, ""end"": 30, ""label"": ""Departure""}, {""start"": 33, ""end"": 39, ""label"": ""Destination""}]"
de Aix-en-Provence vers Le Havre,TRIP,"[{""start"": 3, ""end"": 18, ""label"": ""Departure""}, {""start"": 24, ""end"": 32, ""label"": ""Destination""}]"
Je pars demain de Lille à Mulhouse,TRIP,"[{""start"": 18, ""end"": 23, ""label"": ""Departure""}, {""start"": 26, ""end"": 34, ""label"": ""Destination""}]"
Je pars de Sakété vers Lyon pour voir ma famille,TRIP,"[{""start"": 11, ""end"": 17, ""label"": ""Departure""}, {""start"": 23, ""end"": 27, ""label"": ""Destination""}]"
Est-ce que je peux réserver pour Montpellier Boulogne-Billancourt,NOT_TRIP,[]
Clermont-Ferrand / Paris,TRIP,"[{""start"": 0, ""end"": 16, ""label"": ""Departure""}, {""start"": 19, ""end"": 24, ""label"": ""Destination""}]"
À quelle heure part le train de Tchaourou à Amiens,NOT_TRIP,[]
Prix du trajet Marseille Perpignan,NOT_TRIP,[]
Je compte partir de Natitingou vers Reims,TRIP,"[{""start"": 20, ""end"": 30, ""label"": ""Departure""}, {""start"": 36, ""end"": 41, ""label"": ""Destination""}]"
Danke schön,NOT_FRENCH,[]
À quelle heure y a-t-il des trains de Metz à Lyon,NOT_TRIP,[]
Train schedule please,NOT_FRENCH,[]
Je voyage ce soir de Perpignan vers Nice,TRIP,"[{""start"": 21, ""end"": 30, ""label"": ""Departure""}, {""start"": 36, ""end"": 40, ""label"": ""Destination""}]"
Comment puis-je vous contacter,NOT_TRIP,[]
Bonne journée,NOT_TRIP,[]
Hoe laat vertrekt de trein?,NOT_FRENCH,[]
Je me déplace la semaine prochaine de Mulhouse à Nantes,TRIP,"[{""start"": 38, ""end"": 46, ""label"": ""Departure""}, {""start"": 49, ""end"": 55, ""label"": ""Destination""}]"
uzww,UNKNOWN,[]
De Natitingou jusqu'à Strasbourg,TRIP,"[{""start"": 3, ""end"": 13, ""label"": ""Departure""}, {""start"": 22, ""end"": 32, ""label"": ""Destination""}]"
Bom dia,NOT_FRENCH,[]
grrr,UNKNOWN,[]
Il faut que j'aille de Paris à Angers,TRIP,"[{""start"": 23, ""end"": 28, ""label"": ""Departure""}, {""start"": 31, ""end"": 37, ""label"": ""Destination""}]"
Quels sont les horaires de train pour Caen Lokossa,NOT_TRIP,[]
Mulhouse → Villeurbanne,TRIP,"[{""start"": 0, ""end"": 8, ""label"": ""Departure""}, {""start"": 11, ""end"": 23, ""label"": ""Destination""}]"
Je désire un trajet de Montreuil à Reims,TRIP,"[{""start"": 23, ""end"": 32, ""label"": ""Departure""}, {""start"": 35, ""end"": 40, ""label"": ""Destination""}]"
Je me déplace la semaine prochaine de Dijon à Tchaourou,TRIP,"[{""start"": 38, ""end"": 43, ""label"": ""Departure""}, {""start"": 46, ""end"": 55, ""label"": ""Destination""}]"
Comment puis-je vous contacter,NOT_TRIP,[]
Ich möchte ein Ticket nach München,NOT_FRENCH,[]
Quanto custa ir a Coimbra?,NOT_FRENCH,[]
Comment puis-je vous contacter,NOT_TRIP,[]
Djougou Angers,TRIP,"[{""start"": 0, ""end"": 7, ""label"": ""Departure""}, {""start"": 8, ""end"": 14, ""label"": ""Destination""}]"
Comment puis-je vous contacter,NOT_TRIP,[]
Pouvez-vous me transférer le document,NOT_TRIP,[]
De Allada jusqu'à Malanville,TRIP,"[{""start"": 3, ""end"": 9, ""label"": ""Departure""}, {""start"": 18, ""end"": 28, ""label"": ""Destination""}]"
Les horaires pour aller de Kétou à Cotonou,NOT_TRIP,[]
Merci de me faire parvenir le rapport,NOT_TRIP,[]
hein?,UNKNOWN,[]
de Metz vers Orléans,TRIP,"[{""start"": 3, ""end"": 7, ""label"": ""Departure""}, {""start"": 13, ""end"": 20, ""label"": ""Destination""}]"
J'aimerais aller de Lyon à Natitingou,TRIP,"[{""start"": 20, ""end"": 24, ""label"": ""Departure""}, {""start"": 27, ""end"": 37, ""label"": ""Destination""}]"
"Hello, how are you?",NOT_FRENCH,[]
De Mulhouse jusqu'à Saint-Étienne,TRIP,"[{""start"": 3, ""end"": 11, ""label"": ""Departure""}, {""start"": 20, ""end"": 33, ""label"": ""Destination""}]"
Quel est le prix du billet Caen Bassila,NOT_TRIP,[]
A che ora parte il treno?,NOT_FRENCH,[]
Quels sont les horaires Malanville Abomey,NOT_TRIP,[]
Le Havre → Annecy,TRIP,"[{""start"": 0, ""end"": 8, ""label"": ""Departure""}, {""start"": 11, ""end"": 17, ""label"": ""Destination""}]"
Trajet Allada → Perpignan,TRIP,"[{""start"": 7, ""end"": 13, ""label"": ""Departure""}, {""start"": 16, ""end"": 25, ""label"": ""Destination""}]"
Je pars demain de Savé à Grenoble,TRIP,"[{""start"": 18, ""end"": 22, ""label"": ""Departure""}, {""start"": 25, ""end"": 33, ""label"": ""Destination""}]"
I need to go to Birmingham,NOT_FRENCH,[]
Avez-vous des trains pour Pobè Comè,NOT_TRIP,[]
Félicitations pour votre travail,NOT_TRIP,[]
Grenoble / Cotonou,TRIP,"[{""start"": 0, ""end"": 8, ""label"": ""Departure""}, {""start"": 11, ""end"": 18, ""label"": ""Destination""}]"
Avez-vous des disponibilités pour un trajet Rouen Nantes,TRIP,"[{""start"": 44, ""end"": 49, ""label"": ""Departure""}, {""start"": 50, ""end"": 56, ""label"": ""Destination""}]"
J'ai besoin d'un compte-rendu,NOT_TRIP,[]
Quel est le numéro du service client,NOT_TRIP,[]
depuis Rouen jusqu'à Natitingou,TRIP,"[{""start"": 7, ""end"": 12, ""label"": ""Departure""}, {""start"": 21, ""end"": 31, ""label"": ""Destination""}]"
Quanto custa ir a Coimbra?,NOT_FRENCH,[]
Je pars de Reims vers Comè pour voir ma famille,TRIP,"[{""start"": 11, ""end"": 16, ""label"": ""Departure""}, {""start"": 22, ""end"": 26, ""label"": ""Destination""}]"
de Pobè vers Toulouse,TRIP,"[{""start"": 3, ""end"": 7, ""label"": ""Departure""}, {""start"": 13, ""end"": 21, ""label"": ""Destination""}]"
Quel est le meilleur moyen pour aller de Le Mans vers Caen,TRIP,"[{""start"": 41, ""end"": 48, ""label"": ""Departure""}, {""start"": 54, ""end"": 58, ""label"": ""Destination""}]"
Obrigado,NOT_FRENCH,[]
Train schedule please,NOT_FRENCH,[]
Je dois me rendre de Bassila à Dijon,TRIP,"[{""start"": 21, ""end"": 28, ""label"": ""Departure""}, {""start"": 31, ""end"": 36, ""label"": ""Destination""}]"
